"id","name","state_id","REFRESH_DATE"
14909,Santa María Amajac,377,2022-06-03 14:47:32.480
14920,Santa Teresa,377,2022-06-03 14:47:32.480
15154,Chiquilistlán,378,2022-06-03 14:47:32.480
15320,El Ojuelo,378,2022-06-03 14:47:32.480
15460,Jardines de San Sebastián,378,2022-06-03 14:47:32.480
15559,La Orilla de la Cerca,378,2022-06-03 14:47:32.480
15568,La Playa,378,2022-06-03 14:47:32.480
15792,Tenayuca,378,2022-06-03 14:47:32.480
15803,Tizapán el Alto,378,2022-06-03 14:47:32.480
15828,Valle de Juárez,378,2022-06-03 14:47:32.480
15857,Aguililla,379,2022-06-03 14:47:32.480
15912,Charapán,379,2022-06-03 14:47:32.480
15934,Colonia Aquiles Córdoba Morán,379,2022-06-03 14:47:32.480
15979,El Cuenqueño,379,2022-06-03 14:47:32.480
15981,El Césped,379,2022-06-03 14:47:32.480
16061,La Luz,379,2022-06-03 14:47:32.480
16110,Nuevo Zirosto,379,2022-06-03 14:47:32.480
16142,Puruarán,379,2022-06-03 14:47:32.480
16178,San Gregorio,379,2022-06-03 14:47:32.480
16199,San Pedro de los Sauces,379,2022-06-03 14:47:32.480
16218,Santa María Urapicho,379,2022-06-03 14:47:32.480
16237,Tanhuato de Guerrero,379,2022-06-03 14:47:32.480
16251,Tiríndaro,379,2022-06-03 14:47:32.480
16257,Tumbiscatío de Ruiz,379,2022-06-03 14:47:32.480
16284,Zacapu,379,2022-06-03 14:47:32.480
16304,Alpuyeca,380,2022-06-03 14:47:32.480
16380,Jicarero,380,2022-06-03 14:47:32.480
16381,Jiutepec,380,2022-06-03 14:47:32.480
16403,Ninguno [Centro de Readaptación Social de Atlacholoaya],380,2022-06-03 14:47:32.480
16411,Pedro Amaro,380,2022-06-03 14:47:32.480
16509,Tepalcingo,380,2022-06-03 14:47:32.480
16563,Capulhuac,381,2022-06-03 14:47:32.480
16714,Ruíz,382,2022-06-03 14:47:32.480
16731,Santiago de Pochotitán,382,2022-06-03 14:47:32.480
16850,Animas Trujano,384,2022-06-03 14:47:32.480
16927,El Rosario,384,2022-06-03 14:47:32.480
16963,La Blanca,384,2022-06-03 14:47:32.480
16966,La Crucecita,384,2022-06-03 14:47:32.480
16994,Magdalena Tequisistlán,384,2022-06-03 14:47:32.480
17102,San Dionisio Ocotlán,384,2022-06-03 14:47:32.480
17220,San Mateo Sindihui,384,2022-06-03 14:47:32.480
17239,San Miguel Tetepelcingo,384,2022-06-03 14:47:32.480
17402,Santa Rosa Caxtlahuaca,384,2022-06-03 14:47:32.480
17436,Santiago Nuyoó,384,2022-06-03 14:47:32.480
17440,Santiago Tepextla,384,2022-06-03 14:47:32.480
17508,Tlahuitoltepec,384,2022-06-03 14:47:32.480
17568,Ahuatepec de Camino,385,2022-06-03 14:47:32.480
17574,Albino Zertuche,385,2022-06-03 14:47:32.480
17583,Amixtlán,385,2022-06-03 14:47:32.480
17606,Atzitzintla,385,2022-06-03 14:47:32.480
17630,Camotepec,385,2022-06-03 14:47:32.480
17639,Chichicapa,385,2022-06-03 14:47:32.480
17715,Emilio Carranza (Santa Cruz),385,2022-06-03 14:47:32.480
17724,General Felipe Ángeles,385,2022-06-03 14:47:32.480
17731,Guadalupe Libertad,385,2022-06-03 14:47:32.480
17746,Huautla de Jiménez,385,2022-06-03 14:47:32.480
17792,La Cañada,385,2022-06-03 14:47:32.480
17841,Michac,385,2022-06-03 14:47:32.480
